acquisition_function,local_search_starting_points,local_search_random_points,log_transform_output,lengthscale_prior,epsilon_greedy_threshold,predict_noiseless,exploration_augmentation,value,Timestamp
0.0,0.0,3.0,1.0,1.0,1.0,0.0,-4.0,0.5726762845251352,11696
0,1,0,1,1,0,1,-2,0.5634576045756704,22840
2,0,2,1,1,1,1,-5,0.44862235351235963,34767
2,1,3,1,1,1,0,-2,0.39519469376737715,45911
2,1,1,0,0,0,1,-5,0.8108937974699664,57921
1.0,0.0,3.0,0.0,1.0,1.0,1.0,-5.0,0.46760646598374933,72361
